epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2771.24,2.05653,5.25175,2.17821,0.40107,0.26629,0.28202,0.12749,1.72569,6.64594,1.9,0.0064855,0.0064855,0.0064855
73,2818.33,2.03455,5.1857,2.17049,0.27478,0.25703,0.2732,0.12379,1.63878,6.46732,1.80151,0.006436,0.006436,0.006436
74,2863.12,2.01995,4.95998,2.10559,0.33215,0.29176,0.29491,0.12838,1.69526,6.87672,1.85953,0.0063865,0.0063865,0.0063865
75,2900.29,2.04631,4.94555,2.15603,0.36166,0.3238,0.29331,0.12672,1.74441,5.63784,1.9009,0.006337,0.006337,0.006337
76,2937.26,2.0164,4.845,2.1057,0.32609,0.3327,0.30291,0.13612,1.72152,6.41364,1.83903,0.0062875,0.0062875,0.0062875
77,2974.49,2.01134,4.85322,2.12917,0.31064,0.33552,0.29987,0.1278,1.72557,6.36055,1.83336,0.006238,0.006238,0.006238
78,3011.04,1.97865,4.98417,2.07142,0.36883,0.30383,0.28402,0.13098,1.69151,5.88295,1.7839,0.0061885,0.0061885,0.0061885
79,3047.24,2.00362,4.95132,2.10734,0.42676,0.35947,0.31694,0.13649,1.64406,6.00834,1.77902,0.006139,0.006139,0.006139
80,3083.39,1.96972,4.74894,2.05869,0.37557,0.29363,0.30687,0.12951,1.70772,6.49959,1.81153,0.0060895,0.0060895,0.0060895
81,3119.93,1.99,4.79862,2.09166,0.49191,0.28357,0.31091,0.1376,1.70013,6.68856,1.813,0.00604,0.00604,0.00604
82,3156.18,1.97286,4.80107,2.0661,0.28005,0.29935,0.32164,0.15215,1.68374,6.35847,1.76628,0.0059905,0.0059905,0.0059905
83,3192.03,1.95704,4.6975,2.03328,0.61153,0.27236,0.33516,0.15415,1.71499,5.83215,1.79301,0.005941,0.005941,0.005941
84,3228.31,1.94309,4.55445,2.06514,0.35412,0.35007,0.33857,0.15326,1.71438,5.67245,1.78502,0.0058915,0.0058915,0.0058915
85,3264.49,1.93137,4.79266,2.05156,0.34464,0.34724,0.33211,0.15018,1.64533,5.74914,1.77315,0.005842,0.005842,0.005842
86,3301.1,1.90967,4.604,2.01558,0.44364,0.28191,0.31647,0.15233,1.65634,5.80261,1.7472,0.0057925,0.0057925,0.0057925
87,3337.24,1.95146,4.68294,2.06147,0.54434,0.27707,0.32107,0.15141,1.70651,7.42819,1.81208,0.005743,0.005743,0.005743
88,3374.95,1.93014,4.50591,2.01979,0.30251,0.34441,0.3367,0.14982,1.68238,5.73143,1.7751,0.0056935,0.0056935,0.0056935
89,3411.59,1.88168,4.57606,1.9737,0.35587,0.29081,0.31511,0.14045,1.66074,5.87494,1.74762,0.005644,0.005644,0.005644
90,3449.1,1.92189,4.44551,2.01968,0.35563,0.37223,0.31658,0.1469,1.66469,6.23049,1.75631,0.0055945,0.0055945,0.0055945
91,3489.44,1.88554,4.51203,2.01359,0.41034,0.31208,0.32122,0.14844,1.65483,5.59919,1.79363,0.005545,0.005545,0.005545
92,3535.44,1.90728,4.42416,2.0081,0.40379,0.28973,0.29621,0.12849,1.76558,6.02471,1.83951,0.0054955,0.0054955,0.0054955
93,3583.43,1.90149,4.45529,2.027,0.37655,0.31323,0.2951,0.13706,1.7207,5.49121,1.83226,0.005446,0.005446,0.005446
94,3631.02,1.9043,4.42977,2.02678,0.42892,0.3327,0.33097,0.15343,1.61317,6.34095,1.74913,0.0053965,0.0053965,0.0053965
95,3671.93,1.86582,4.3523,1.98659,0.30176,0.36395,0.33099,0.14578,1.65236,6.23682,1.7814,0.005347,0.005347,0.005347
96,3708.84,1.87605,4.21404,1.97973,0.38662,0.31316,0.33346,0.15347,1.61668,6.05125,1.7397,0.0052975,0.0052975,0.0052975
97,3745.47,1.87698,4.31298,1.9627,0.51301,0.30145,0.33661,0.15385,1.64,5.61453,1.74233,0.005248,0.005248,0.005248
98,3782.05,1.86182,4.23619,1.9563,0.52619,0.31034,0.33847,0.1588,1.65155,6.4202,1.72762,0.0051985,0.0051985,0.0051985
99,3819.99,1.84204,4.38097,1.95828,0.4445,0.30535,0.3393,0.1649,1.66142,5.85375,1.72611,0.005149,0.005149,0.005149
100,3856.5,1.85354,4.20824,1.95782,0.48126,0.32663,0.34219,0.16377,1.68143,6.33901,1.74406,0.0050995,0.0050995,0.0050995
101,3893.28,1.80164,4.16087,1.90765,0.56903,0.33947,0.36057,0.16907,1.64952,5.46407,1.74742,0.00505,0.00505,0.00505
102,3929.96,1.79387,4.02249,1.89341,0.55619,0.33159,0.34933,0.16374,1.63491,5.6047,1.72924,0.0050005,0.0050005,0.0050005
103,3966.53,1.82303,4.06072,1.93955,0.45688,0.35572,0.35746,0.16563,1.64725,5.71083,1.71472,0.004951,0.004951,0.004951
104,4002.93,1.79933,4.08173,1.89431,0.28948,0.39304,0.33814,0.15699,1.67164,5.88594,1.72909,0.0049015,0.0049015,0.0049015
105,4039.86,1.81916,4.10839,1.93745,0.39457,0.36287,0.366,0.17373,1.66523,6.03681,1.73806,0.004852,0.004852,0.004852
106,4076.62,1.77074,3.98621,1.89654,0.38796,0.37974,0.34843,0.17012,1.66446,6.30283,1.76513,0.0048025,0.0048025,0.0048025
107,4113.24,1.7874,4.01775,1.90171,0.38158,0.35397,0.357,0.1646,1.70787,6.12722,1.78881,0.004753,0.004753,0.004753
108,4150.13,1.76448,3.99009,1.89894,0.52908,0.31815,0.37225,0.18119,1.66418,4.99321,1.74789,0.0047035,0.0047035,0.0047035
109,4187,1.76876,4.07158,1.88639,0.45309,0.40132,0.36893,0.17528,1.66198,5.39157,1.75341,0.004654,0.004654,0.004654
110,4224.11,1.77949,3.92332,1.90043,0.49196,0.30253,0.3333,0.16652,1.63798,6.22466,1.70204,0.0046045,0.0046045,0.0046045
111,4261.59,1.81175,3.88389,1.90266,0.42515,0.37329,0.34352,0.16333,1.67318,6.15389,1.72805,0.004555,0.004555,0.004555
112,4297.66,1.74158,3.83971,1.86713,0.40249,0.36556,0.34133,0.16181,1.6538,6.2087,1.7205,0.0045055,0.0045055,0.0045055
113,4334.04,1.76688,3.90168,1.88767,0.41274,0.34441,0.35081,0.17203,1.64773,5.86649,1.71857,0.004456,0.004456,0.004456
114,4370.44,1.72947,3.73022,1.86031,0.37385,0.42994,0.36804,0.17854,1.61666,5.73873,1.69656,0.0044065,0.0044065,0.0044065
115,4406.92,1.72295,3.70091,1.84639,0.41857,0.34724,0.34816,0.17449,1.55351,5.9386,1.65784,0.004357,0.004357,0.004357
116,4444.54,1.73643,3.7742,1.84654,0.43124,0.39349,0.35767,0.17156,1.5978,5.60243,1.67519,0.0043075,0.0043075,0.0043075
117,4481.45,1.73552,3.72912,1.83891,0.39169,0.38414,0.37074,0.17569,1.59569,5.79796,1.66953,0.004258,0.004258,0.004258
118,4518.25,1.69078,3.63695,1.80265,0.51931,0.32879,0.3721,0.18358,1.63029,5.89868,1.69852,0.0042085,0.0042085,0.0042085
119,4559.31,1.72701,3.73392,1.82893,0.3971,0.38913,0.35158,0.16928,1.61578,5.80167,1.69578,0.004159,0.004159,0.004159
120,4606.3,1.74676,3.69964,1.86932,0.43724,0.39818,0.35386,0.1656,1.62105,5.68224,1.6964,0.0041095,0.0041095,0.0041095
121,4654.29,1.71605,3.73631,1.8372,0.4208,0.33921,0.35427,0.17106,1.61175,5.50601,1.69012,0.00406,0.00406,0.00406
122,4703.02,1.67349,3.58233,1.81978,0.46952,0.37741,0.36145,0.17433,1.57994,5.486,1.6721,0.0040105,0.0040105,0.0040105
